asin,title,actors,box_office,country,director,genre,language,metascore,production,rated,released,runtime,type,writer,year,imdb_id,imdb_rating,imdb_votes
6302941318,Super Mario Bros.,"Bob Hoskins, John Leguizamo, Dennis Hopper, Samantha Mathis",N/A,"UK, USA","Annabel Jankel, Rocky Morton","Adventure, Comedy, Family",English,N/A,Buena Vista,PG,28 May 1993,104 min,movie,"Parker Bennett, Terry Runte, Ed Solomon",1993,tt0108255,4.0,"40,836"
6302415993,The Rolling Stones: Gimme Shelter,Brad Renfro,N/A,"France, USA",Michel Gondry,"Short, Music",English,N/A,N/A,N/A,05 Dec 1998,5 min,movie,N/A,1998,tt6688396,7.0,10
B000EMGICS,Rumor Has It...,"Jennifer Aniston, Kevin Costner, Shirley MacLaine, Mark Ruffalo","$42,900,000","USA, Germany, Australia",Rob Reiner,"Comedy, Drama, Romance","English, Spanish",35,Warner Bros. Pictures,PG-13,25 Dec 2005,97 min,movie,Ted Griffin,2005,tt0398375,5.5,"44,293"
B005LAIGRS,Safe House,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson","$126,149,655","South Africa, Japan, USA",Daniel Espinosa,"Action, Crime, Mystery","English, Afrikaans",52,Universal Pictures,R,10 Feb 2012,115 min,movie,David Guggenheim,2012,tt1599348,6.8,"178,867"
B00BVMXBDO,Orphan Black Season 4 Trailer Reaction,Drew Ryan,,N/A,Drew Ryan,Talk-Show,N/A,N/A,,N/A,21 Feb 2016,N/A,episode,Drew Ryan,2016,tt5619982,N/A,N/A
630344315X,Last Seduction,"Katie Wilbert, Zach Dulin",N/A,USA,James Huang,"Short, Comedy",English,N/A,N/A,N/A,28 Oct 2014,N/A,movie,Katie Wilbert,2014,tt4792686,N/A,N/A
630238060X,Diamonds Are Forever,"Sean Connery, Jill St. John, Charles Gray, Lana Wood",N/A,"UK, USA",Guy Hamilton,"Action, Adventure, Thriller","English, German",59,Twentieth Century Fox Home Entertainment,GP,17 Dec 1971,120 min,movie,"Richard Maibaum (screenplay), Tom Mankiewicz (screenplay)",1971,tt0066995,6.7,"80,224"
B002QEHPQA,Public Enemies,"Christian Bale, Christian Stolte, Jason Clarke, Johnny Depp","$97,000,000","USA, Japan",Michael Mann,"Biography, Crime, Drama",English,70,Universal Studios,R,01 Jul 2009,140 min,movie,"Ronan Bennett (screenplay), Michael Mann (screenplay), Ann Biderman (screenplay), Bryan Burrough (book)",2009,tt1152836,7.0,"245,394"
B0009RCPUW,Guess Who,"Bernie Mac, Ashton Kutcher, Zoe Saldana, Judith Scott","$67,962,333",USA,Kevin Rodney Sullivan,"Comedy, Romance",English,49,Sony Pictures,PG-13,25 Mar 2005,105 min,movie,"William Rose (motion picture ""Guess Who's Coming to Dinner""), David Ronn (story), Jay Scherick (story), David Ronn (screenplay), Jay Scherick (screenplay), Peter Tolan (screenplay)",2005,tt0372237,5.9,"35,630"
B009WGYMO8,Death Race: Inferno,"Luke Goss, Ving Rhames, Danny Trejo, Dougray Scott",N/A,"USA, Germany, South Africa",Roel Reiné,"Action, Sci-Fi, Thriller",English,N/A,Universal Studios Home Entertainment,R,20 Jan 2013,105 min,movie,"Tony Giglio (screenplay), Paul W.S. Anderson (story), Tony Giglio (story), Paul W.S. Anderson (characters from ""Death Race""), Robert Thom (characters from ""Death Race 2000""), Charles B. Griffith (characters from ""Death Race 2000"")",2013,tt1988591,5.5,"15,507"
