title,asin,year,vfx,genres,runtimes,production_companies,rating,votes,directors
The Taking of Pelham One Two Three,0792843649,1974,False,"['Action', 'Crime', 'Thriller']",104,"['Palomar Pictures (I)', 'Palladium Productions']",7.7,21557.0,['Joseph Sargent']
Being There,6301590740,1979,False,"['Comedy', 'Drama']",130,"['BSB', 'CIP', 'Lorimar Film Entertainment', 'NatWest Ventures', 'New Gold Entertainment', 'Northstar Media']",8.0,56030.0,['Hal Ashby']
The Book Thief,B00G15MDI0,2013,True,"['Drama', 'War']",131,"['Fox 2000 Pictures', 'Sunswept Entertainment', 'TSG Entertainment', 'The Blair Partnership', 'Studio Babelsberg', 'Ingenious Media']",7.6,110084.0,['Brian Percival']
Frighteners,0783219172,1996,False,['Thriller'],,['Anglia Television'],,,['Ingrid Duffell']
Sudden Death,0783219660,1995,True,"['Action', 'Crime', 'Thriller']",111,"['Universal Pictures', 'Signature Entertainment', 'Imperial Entertainment', 'Shattered Productions']",5.7,27679.0,['Peter Hyams']
Twilight,B001IDZLCK,2008,True,"['Drama', 'Fantasy', 'Romance']",122,"['Summit Entertainment', 'Temple Hill Entertainment', 'Maverick Films', 'Imprint Entertainment', 'Goldcrest Pictures', 'Twilight Productions']",5.2,368852.0,['Catherine Hardwicke']
Thor,B0034G4P80,2011,True,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",115,"['Paramount Pictures', 'Marvel Entertainment', 'Marvel Studios']",7.0,595218.0,['Kenneth Branagh']
Next Stop Wonderland,6305240671,1998,True,"['Comedy', 'Drama', 'Romance']",104,['Robbins Entertainment'],6.7,4312.0,['Brad Anderson']
The Birds,0783235666,1963,True,"['Drama', 'Horror', 'Mystery', 'Romance']",119,['Alfred J. Hitchcock Productions'],7.7,142225.0,['Alfred Hitchcock']
Fear and Loathing in Las Vegas,0783229526,1998,True,"['Adventure', 'Comedy', 'Drama']",118,"['Fear and Loathing LLC', 'Rhino Films', 'Shark Productions', 'Summit Entertainment', 'Universal Pictures']",7.7,228183.0,['Terry Gilliam']
Fire in the Sky,6302859204,1993,True,"['Biography', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",109,['Paramount Pictures'],6.5,17695.0,['Robert Lieberman']
Hedwig and the Angry Inch,B00005QW5X,2001,True,"['Comedy', 'Drama', 'Music', 'Musical']",95,"['Killer Films', 'New Line Cinema']",7.8,27895.0,['John Cameron Mitchell']
Monster-in-Law,B000A343RI,2005,True,"['Comedy', 'Romance']",101,"['New Line Cinema', 'BenderSpink', 'Spring Creek Productions', 'Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG']",5.5,47717.0,['Robert Luketic']
Letters to Juliet,B002ZG988M,2010,False,"['Adventure', 'Comedy', 'Drama', 'Romance']",USA:105,"['Summit Entertainment', 'Applehead Pictures']",6.6,80476.0,['Gary Winick']
Glory,0800102150,1989,True,"['Biography', 'Drama', 'History', 'War']",122,"['TriStar Pictures', 'Freddie Fields Productions']",7.9,107846.0,['Edward Zwick']
TRON,1558908358,1982,True,"['Action', 'Adventure', 'Sci-Fi']",96,"['Walt Disney Productions', 'Lisberger/Kushner']",6.8,100077.0,['Steven Lisberger']
Mad Monster Party?,B00000I1NO,1967,False,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",94,"['Embassy Pictures', 'Rankin/Bass Productions', 'Videocraft International']",6.7,2308.0,['Jules Bass']
Superman Returns,B000J10EQU,2006,True,"['Action', 'Adventure', 'Sci-Fi']",154,"['Warner Bros.', 'Legendary Entertainment', 'Peters Entertainment', 'Bad Hat Harry Productions', 'DC Comics', 'Red Sun Productions Pty. Ltd.']",6.1,250896.0,['Bryan Singer']
Jason Lives: Friday the 13th Part VI,B00005NG6E,1986,True,"['Horror', 'Thriller']",86,"['Paramount Pictures', 'Sean S. Cunningham Films', 'Terror Films Inc.']",5.9,29090.0,['Tom McLoughlin']
