title,asin,actors,binding,brand,directors,ean,edition,formatted_price,genre,isbn,label,manufacturer,price_and_currency,product_group,product_type_name,publication_date,publisher,region,release_date,running_time,sales_rank,studio,upc
Jurassic Park Trilogy,B00005QCYC,"[Sam Neill, Jeff Goldblum, Richard Attenborough, Laura Dern, Julianne Moore]",DVD,,[],0025192146824,,$99.99,,,Universal Studios,Universal Studios,"(99.99, USD)",DVD,ABIS_DVD,,Universal Studios,US,2001-12-11,93,101320,Universal Studios,025192146824
Fast Food Nation,B000MEYKAU,"[Greg Kinnear, Luis Guzmán, Patricia Arquette, Kris Kristofferson, Bruce Willis]",DVD,"KINNEAR,GREG",[Richard Linklater],0024543418689,,$0.25,Comedy,,20th Century Fox,20th Century Fox,"(6.44, USD)",DVD,ABIS_DVD,2007-03-01,20th Century Fox,US,2007-03-06,116,60828,20th Century Fox,024543418689
A Serious Man [Blu-ray],B002E2M5IC,"[Michael Stuhlbarg, Richard Kind, Fred Melamed, Aaron Wolff]",Blu-ray,Electronic-A,[],0025195054393,,$4.95,Kids & Family,,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(14.99, USD)",DVD,ABIS_DVD,2011-01-16,Universal Studios Home Entertainment,US,2010-02-09,106,19472,Universal Studios Home Entertainment,025195054393
Downton Abbey: Series 1 [Region 2],B003WE9C5U,"[Hugh Bonneville, Maggie Smith, Elizabeth McGovern, Michelle Dockery, Dan Stevens]",DVD,,"[Hugh Bonneville, Maggie Smith]",5050582802276,,$31.97,,,,,"(31.97, USD)",DVD,ABIS_DVD,,,US,,8,80786,,
Ice Age (2-Disc Special Edition),B00006CXHU,"[Denis Leary, John Leguizamo, Ray Romano, Goran Visnjic, Jack Black]",DVD,20th Century Fox,"[Carlos Saldanha, Chris Wedge]",0024543046646,Special Edition,$3.15,,,20th Century Fox,20th Century Fox,"(9.87, USD)",DVD,ABIS_DVD,2002-11-26,20th Century Fox,US,2002-11-26,81,89268,20th Century Fox,024543046646
Fair Game [VHS],0790741881,"[William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald, Miguel Sandoval]",VHS Tape,,[Andrew Sipes],9780790741888,VHS video,$1.87,,0790741881,Warner Home Video,Warner Home Video,"(1.87, USD)",Video,ABIS_VIDEO,1999-04-30,Warner Home Video,US,1999-06-01,91,664885,Warner Home Video,085391735038
Balls of Fury (Full Screen Edition),B000XPU66K,"[Christopher Walken, Lopez, Fogler]",DVD,"WALKEN,CHRISTOPHER",[],0025193184825,,$1.90,Comedy,,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(9.17, USD)",DVD,ABIS_DVD,,Universal Studios Home Entertainment,US,2007-12-18,91,155167,Universal Studios Home Entertainment,025193184825
Mad Hot Ballroom,B000ADS6DA,"[Heather Berman, Emma Therese Biegacki, Eva Carrozza, Evangelina Carrozzo, Paul Daggett]",DVD,Paramount Home Video,[Marilyn Agrelo],9781415714553,,$4.63,Documentary,141571455X,Paramount,Paramount,"(9.97, USD)",DVD,ABIS_DVD,,Paramount,US,2005-10-18,105,32225,Paramount,097363455547
Parker,B005LAIILM,"[Jason Statham, Jennifer Lopez]",DVD,Sony,[Taylor Hackford],0043396415959,UV Digital Copy Included ed.,$4.12,ACTION/ADVENTURE,,FilmDistrict,FilmDistrict,"(12.34, USD)",DVD,ABIS_DVD,2015-10-20,FilmDistrict,US,2013-05-21,119,22523,FilmDistrict,043396415959
Cold Creek Manor,B0000YTOL2,"[Dennis Quaid, Sharon Stone, Stephen Dorff, Juliette Lewis, Kristen Stewart]",DVD,Buena Vista Home Video,[Mike Figgis],0786936226393,,$3.99,,,Buena Vista Home Entertainment,Buena Vista Home Entertainment,"(5.99, USD)",DVD,ABIS_DVD,2010-04-25,Buena Vista Home Entertainment,US,2004-03-02,119,47912,Buena Vista Home Entertainment,786936226393
Akeelah and the Bee (Full Screen Edition),B000G1R38U,"[Angela Bassett, Laurence Fishburne, Keke Palmer, Curtis Armstrong, J.R. Villarreal]",DVD,Lions Gate,[Doug Atchison],0031398200017,,$1.61,,,Lions Gate,Lions Gate,"(6.47, USD)",DVD,ABIS_DVD,2010-01-19,Lions Gate,US,2006-08-29,112,75664,Lions Gate,031398200017
The Texas Chainsaw Massacre: The Beginning,0780656946,"[Jordana Brewster, R. Lee Ermey, Diora Baird, Heather Kafka, Matthew Bomer]",DVD,,[Jonathan Liebesman],9780780656949,,$9.99,,0780656946,,,"(9.99, USD)",DVD,ABIS_DVD,,,US,,89,357062,,
Hanna [Blu-ray],B005CMSDKA,"[Saoirse Ronan, Eric Bana, Cate Blanchett, Tom Hollander, Olivia Williams]",Blu-ray,Universal Studios,[Joe Wright],0025192074660,Digital Copy Included,$8.65,,,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(9.99, USD)",DVD,ABIS_DVD,2013-05-28,Universal Studios Home Entertainment,US,2011-09-06,111,10109,Universal Studios Home Entertainment,025192074660
Stealing Beauty [VHS],6304195281,"[Jeremy Irons, Liv Tyler, Carlo Cecchi, Sinéad Cusack, Joseph Fiennes]",VHS Tape,,[Bernardo Bertolucci],9786304195284,,$2.99,,6304195281,Fox Home Entertainme,Fox Home Entertainme,"(5.99, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,1996-10-01,118,419296,Fox Home Entertainme,086162411434
