title,asin,actors,binding,brand,directors,ean,edition,formatted_price,genre,isbn,label,manufacturer,price_and_currency,product_group,product_type_name,publication_date,publisher,region,release_date,running_time,sales_rank,studio,upc
The Texas Chainsaw Massacre 2 [VHS],0792839242,"[Dennis Hopper, Caroline Williams, Jim Siedow, Bill Moseley, Bill Johnson]",VHS Tape,,[Tobe Hooper],9780792839248,,$8.99,,0792839242,Fox Home Entertainme,Fox Home Entertainme,"(8.99, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,2001-07-17,95,270691,Fox Home Entertainme,027616690937
Bolt (Single-Disc Edition),B001OMU6UM,"[John Travolta, Miley Cyrus, Susie Essman, James Lipton]",DVD,Buena Vista Home Video,[Chris Williams; Byron Howard],0786936790290,1- Disc DVD,$9.02,,,Walt Disney Studios Home Entertainment,Walt Disney Studios Home Entertainment,"(9.96, USD)",DVD,ABIS_DVD,2009-03-01,Walt Disney Studios Home Entertainment,US,2009-03-24,96,853,Walt Disney Studios Home Entertainment,786936790290
Limbo [VHS],0767835948,"[David Strathairn, Mary Elizabeth Mastrantonio, Vanessa Martinez, Hermínio Ramos, Kris Kristofferson]",VHS Tape,,[John Sayles],9780767835947,,$2.89,,0767835948,Sony Pictures,Sony Pictures,"(6.49, USD)",Video,ABIS_VIDEO,,Sony Pictures,US,2000-06-13,126,372778,Sony Pictures,043396038974
Liar Liar [VHS],0783219458,"[Jim Carrey, Maura Tierney, Justin Cooper, Cary Elwes, Anne Haney]",VHS Tape,,[Tom Shadyac],9780783219455,VHS video,$0.49,,0783219458,Universal Studios,Universal Studios,"(2.95, USD)",Video,ABIS_VIDEO,1997-09-29,Universal Studios,US,1997-09-30,86,152080,Universal Studios,096898292634
Doctor Who: The Movie [Region 2],B00005KB4D,"[Sylvester McCoy, Paul McGann, Eric Roberts, Daphne Ashbrook, Yee Jee Tso]",DVD,,[Geoffrey Sax],5014503104320,,$63.97,Musicals,,,,"(65.99, USD)",DVD,ABIS_DVD,,,US,,,276960,Fox,
Let Me In [Blu-ray],B003EYVXUU,"[Kodi Smit-McPhee, Chloë Grace Moretz, Elias Koteas, Cara Buono, Sasha Barrese]",Blu-ray,Anchor Bay Entertainment,[Matt Reeves],0013132146492,Digital Copy Included,$8.99,,,Anchor Bay Entertainment,Anchor Bay Entertainment,"(14.99, USD)",DVD,ABIS_DVD,2011-02-01,Anchor Bay Entertainment,US,2011-02-01,115,32252,Anchor Bay Entertainment,013132146492
Shadow of a Doubt [VHS],0783236352,"[Teresa Wright, Joseph Cotten, Macdonald Carey, Henry Travers, Patricia Collinge]",VHS Tape,,[Alfred Hitchcock],9780783236353,,$6.35,,0783236352,Universal Studios,Universal Studios,"(7.35, USD)",Video,ABIS_VIDEO,,Universal Studios,US,1999-08-03,108,175103,Universal Studios,096898481137
Three Coins in the Fountain [VHS],0793910323,"[Clifton Webb, Dorothy McGuire, Jean Peters, Louis Jourdan, Maggie McNamara]",VHS Tape,,[Jean Negulesco],9780793910328,VHS video,$3.95,,0793910323,20th Century Fox,20th Century Fox,"(6.99, USD)",Video,ABIS_VIDEO,1997-06-30,20th Century Fox,US,1997-08-05,101,256078,20th Century Fox,086162103230
Millions,B000AP04GK,"[Alex Etel, James Nesbitt, Daisy Donovan, Lewis McGibbon, Christopher Fulford]",DVD,"ETEL,ALEXANDER NATH",[Danny Boyle],0024543198932,,$1.55,Kids & Family,,Fox Searchlight,Fox Searchlight,"(8, USD)",DVD,ABIS_DVD,2005-11-01,Fox Searchlight,US,2005-11-01,98,22706,Fox Searchlight,024543198932
Fracture (Widescreen Edition),B000R4SMCW,"[Anthony Hopkins, Ryan Gosling, David Strathairn, Rosamund Pike, Embeth Davidtz]",DVD,Warner Brothers,[Gregory Hoblit],0794043107030,,$3.99,Mystery & Thrillers,,WarnerBrothers,WarnerBrothers,"(7.97, USD)",DVD,ABIS_DVD,,WarnerBrothers,US,2008-01-08,113,7990,WarnerBrothers,794043107030
A Clockwork Orange,0790701022,[],VHS Tape,,[],9780790701028,,$2.49,Music Videos & Concerts,0790701022,Warner Studios,Warner Studios,"(12.43, USD)",DVD,VIDEO_VHS,,Warner Studios,US,,,221713,Warner Studios,012569103139
Chocolat (Miramax Collector's Series),B00005K3OT,"[Juliette Binoche, Judi Dench, Alfred Molina, Carrie-Anne Moss, Aurelien Parent Koenig]",DVD,Buena Vista Home Video,[Lasse Hallström],9780788827006,,$2.43,,0788827006,Miramax,Miramax,"(4.99, USD)",DVD,ABIS_DVD,,Miramax,US,2001-08-07,122,41822,Miramax,786936145076
Under Siege,0790732238,"[Steven Seagal, Gary Busey, Tommy Lee Jones, Erika Eleniak, Damian Chapa]",DVD,Warner Manufacturing,[Andrew Davis],9780790732237,DVD Video,$3.95,Action & Adventure,0790732238,Warner Bros,Warner Bros,"(12.98, USD)",DVD,ABIS_DVD,1997-07-31,Warner Bros,US,1997-08-20,103,61413,Warner Bros,085391242024
Dead End [VHS],0792845889,"[Sylvia Sidney, Joel McCrea, Humphrey Bogart, Wendy Barrie, Claire Trevor]",VHS Tape,,[William Wyler],9780792845881,,$13.92,,0792845889,Fox Home Entertainme,Fox Home Entertainme,"(17.99, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,2000-07-05,93,437192,Fox Home Entertainme,027616001153
House Of The Dead,B0000YEE6C,"[Jonathan Cherry, Tyron Leitso, Clint Howard, Ona Grauer, Ellie Cornell]",DVD,Lions Gate,[Uwe Boll],0012236148890,,$2.95,,,Lions Gate,Lions Gate,"(7.99, USD)",DVD,ABIS_DVD,2004-01-01,Lions Gate,US,2004-01-27,90,42672,Lions Gate,012236148890
Just Wright  [Blu-ray],B003UEYBK8,[],Blu-ray,,[],0024543696049,Digital Copy Included,$3.25,,,Fox Searchlight,Fox Searchlight,"(10, USD)",DVD,ABIS_DVD,2014-05-06,Fox Searchlight,US,2010-09-14,101,50816,Fox Searchlight,024543696049
Sullivan's Travel [VHS],6301232291,"[Joel McCrea, Veronica Lake, Robert Warwick, William Demarest, Franklin Pangborn]",VHS Tape,,[Preston Sturges],9786301232296,VHS video,$1.99,,6301232291,Universal Studios Ho,Universal Studios Ho,"(1.99, USD)",Video,ABIS_VIDEO,1989-03-31,Universal Studios Ho,US,1998-08-04,90,262737,Universal Studios Ho,096898055130
Yours Mine And Ours [VHS],6301977033,"[Lucille Ball, Henry Fonda, Van Johnson, Louise Troy, Sidney Miller]",VHS Tape,MGM,[Melville Shavelson],9780792800484,,$1.77,,0792800486,MGM (Video & DVD),MGM (Video & DVD),"(4.99, USD)",Video,ABIS_VIDEO,,MGM (Video & DVD),US,1994-12-21,111,80240,MGM (Video & DVD),027616170231
Saturn 3 [VHS],6300251330,"[Farrah Fawcett, Kirk Douglas, Harvey Keitel, Ed Bishop, Roy Dotrice]",VHS Tape,,"[John Barry, Stanley Donen]",9786300251335,,$18.99,Action & Adventure,6300251330,20th Century Fox,20th Century Fox,"(18.99, USD)",Video,ABIS_VIDEO,,20th Century Fox,US,1989-06-29,96,325221,20th Century Fox,086162900433
Against All Odds (Special Edition),B00001W9FY,"[Jeff Bridges, Alex Karras, Richard Widmark, Pat Corley, Rachel Ward]",DVD,"BRIDGES,JEFF","[Robert Garofalo, Taylor Hackford]",9780767821490,Special Edition,$1.52,Drama,0767821491,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,"(4.44, USD)",DVD,ABIS_DVD,2004-03-23,Sony Pictures Home Entertainment,US,1999-12-14,121,130605,Sony Pictures Home Entertainment,043396007796
The Dead Zone [VHS],6300214443,"[Christopher Walken, Brooke Adams, Tom Skerritt, Herbert Lom, Anthony Zerbe]",VHS Tape,,[David Cronenberg],9780792101185,,$6.72,Horror,6300214443,Paramount,Paramount,"(19.77, USD)",Video,ABIS_DVD,,Paramount,US,1991-08-26,103,209456,Paramount,097360164633
Priceless,B001CIOCLC,[Audrey Tautou],DVD,FIRST LOOK HOME ENTERTAINMENT,[Pierre Salvadori],0687797126092,,$2.00,,,First Look Home Entertain,First Look Home Entertain,"(7.99, USD)",DVD,ABIS_DVD,2009-02-10,First Look Home Entertain,US,2008-11-18,111,58550,First Look Home Entertain,068779712609
The Deer Hunter,0783225997,"[Robert De Niro, Meryl Streep, Christopher Walken, John Cazale, John Savage]",DVD,NBC Universal,[Michael Cimino],9780783225999,DVD Video,$4.51,,0783225997,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(4.51, USD)",DVD,ABIS_DVD,1998-03-31,Universal Studios Home Entertainment,US,1998-03-31,183,96429,Universal Studios Home Entertainment,025192017728
Bruce Almighty (Widescreen Edition),B0000AKCKI,"[Jim Carrey, Jennifer Aniston, Morgan Freeman, Philip Baker Hall, Catherine Bell]",DVD,"CARREY,JIM",[Tom Shadyac],9780783280219,,$2.79,COMEDY,0783280211,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(4.88, USD)",DVD,ABIS_DVD,2011-10-04,Universal Studios Home Entertainment,US,2003-11-25,102,4862,Universal Studios Home Entertainment,025192282324
Cape Fear (Widescreen Edition) [VHS],0783226551,"[Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis, Joe Don Baker]",VHS Tape,,[Martin Scorsese],9780783226552,VHS video,$1.11,,0783226551,Universal Studios Ho,Universal Studios Ho,"(1.79, USD)",Video,ABIS_VIDEO,1998-02-28,Universal Studios Ho,US,2000-02-01,128,592030,Universal Studios Ho,096898364935
Leonard Cohen: I'm Your Man,B00005JP71,[],Theatrical Release,,[],,,,,,,,"(None, None)",DVD,ABIS_DVD,,,US,,,,,
The Final Destination,B001GCUO4S,"[Bobby Campo, Shantel VanSanten, Mykelti Williamson, Nick Zano, Haley Webb]",DVD,New Line Studios,[David R. Ellis],0794043130021,,$2.50,,,New Line,New Line,"(7, USD)",DVD,ABIS_DVD,,New Line,US,2010-01-05,128,71684,New Line,883929269532
Kinsey,B0007PALGG,"[Liam Neeson, Laura Linney, Chris O'Donnell, Peter Sarsgaard, Timothy Hutton]",DVD,"NEESON,LIAM",[Bill Condon],0024543178606,,$2.90,Drama,,Fox Searchlight,Fox Searchlight,"(8.3, USD)",DVD,ABIS_DVD,2005-05-01,Fox Searchlight,US,2005-05-17,118,98129,Fox Searchlight,024543178606
27 Dresses (Full Screen Edition),B0015I2RSO,"[Katherine Heigl, James Marsden, Malin Akerman, Brian Kerwin, Charli Barcena]",DVD,"HEIGL,KATHERINE",[Anne Fletcher],0024543515975,,$1.00,Comedy,,20th Century Fox,20th Century Fox,"(7.98, USD)",DVD,ABIS_DVD,2014-01-07,20th Century Fox,US,2008-04-29,111,66497,20th Century Fox,024543515975
Clear And Present Danger [VHS],0792133153,"[Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny]",VHS Tape,,[Phillip Noyce],9780792133155,VHS video,$0.99,,0792133153,Paramount,Paramount,"(5.72, USD)",Video,ABIS_DVD,1994-12-31,Paramount,US,1996-12-02,141,120360,Paramount,009736324633
Pay It Forward,B00005ALS1,[],DVD,,[],0085391877721,,,,,,,"(None, None)",DVD,ABIS_DVD,,,US,,,1028532,,085391877721
Smallville: Season 6,B000N6SE4U,"[Tom Welling, Kristin Kreuk, Michael Rosenbaum, Erica Durance, Allison Mack]",DVD,Warner Brothers,[],0883929277162,,$18.89,DC Comics,,Warner Home Video,Warner Home Video,"(20.03, USD)",DVD,ABIS_DVD,2013-11-29,Warner Home Video,US,2007-09-18,1078,7070,Warner Home Video,085391125860
Ghost Rider (Two-Disc Extended Cut),B000OVLBEO,"[Nicolas Cage, Eva mendes, Brett Cullen, Peter Fonda, Matt Long (II)]",DVD,Sony,[],0043396196643,,$4.00,Action & Adventure,,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,"(9.22, USD)",DVD,ABIS_DVD,,Sony Pictures Home Entertainment,US,2007-06-12,123,72749,Sony Pictures Home Entertainment,043396196643
Saw II - Unrated (Two-Disc Special Edition),B00008YOD2,"[Donnie Wahlberg, Beverley Mitchell, Franky G, Emmanuelle Vaugier, Tobin Bell]",DVD,"BELL,TOBIN",[Darren Lynn Bousman],0031398203537,Unrated Special Edition,$1.61,Horror,,Lions Gate Films,Lions Gate Films,"(9.99, USD)",DVD,ABIS_DVD,2009-04-06,Lions Gate Films,US,2006-10-24,95,139133,Lions Gate Films,031398203537
Big Momma's House 2,B000F1IQHI,"[Martin Lawrence, Emily Procter, Nia Long, Zachary Levi, Mark Moses]",DVD,"LAWRENCE,MARTIN",[John Whitesell],0024543237174,New Box Art,$2.01,Comedy,,20th Century Fox,20th Century Fox,"(5.99, USD)",DVD,ABIS_DVD,2014-09-23,20th Century Fox,US,2014-01-21,99,90304,20th Century Fox,024543237174
Incendies,B000065R11,"[Mustafa Kamel, Hussein Sami, Rémy Girard, Mélissa Désormeaux-Poulin, Maxim Gaudette]",DVD,,[Denis Villeneuve],0774212104237,,$14.57,Kids & Family,,Imports,Imports,"(18.98, USD)",DVD,ABIS_DVD,,Imports,US,2011-03-15,130,264973,Imports,774212104237
Hero,B00030590I,"[Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Ziyi Zhang, Donnie Yen]",DVD,Buena Vista Home Video,[Yimou Zhang],0786936259223,,$1.51,,,Miramax,Miramax,"(9.77, USD)",DVD,ABIS_DVD,2004-11-30,Miramax,US,2004-11-30,99,87726,Miramax,786936259223
One Missed Call,B00151QYOO,"[Shannyn Sossamon, Edward Burns, Ana Claudia Talancón, Ray Wise, Azura Skye]",DVD,Warner Manufacturing,[Eric Valette],0085391139126,,Too low to display,HORROR,,WarnerBrothers,WarnerBrothers,"(7.95, USD)",DVD,ABIS_DVD,2009-09-08,WarnerBrothers,US,2008-04-22,87,36621,WarnerBrothers,085391139126
G.I. Joe: The Rise of Cobra,B002NXSRVG,[Channing Tatum],DVD,G.I. Joe,[],0009736343924,,$1.78,action,,Paramount,Paramount,"(7.97, USD)",DVD,ABIS_DVD,2015-01-27,Paramount,US,2009-11-03,117,31171,Paramount,009736343924
Elvira: Hideous Sun Demon [VHS],6301773403,"[Robert Clarke, Patricia Manning, Nan Peterson, Patrick Whyte, Fred La Porta]",VHS Tape,,"[Robert Clarke, Tom Boutross]",9786308854590,,,Horror,6301773403,Rhino,Rhino,"(None, None)",Video,ABIS_VIDEO,,Rhino,US,1993-09-08,74,351443,Rhino,081227194734
The Hangover Part II,B004EPZ06G,"[Bradley Cooper, Zach Galifianakis, Ed Helms, Justin Bartha, Ken Jeong]",DVD,warner studios,[Todd Phillips],0883929270248,Standard Edition,$2.68,COMEDY,,Warner Bros. Pictures,Warner Bros. Pictures,"(4.99, USD)",DVD,ABIS_DVD,2015-02-17,Warner Bros. Pictures,US,2011-12-06,102,16529,Warner Bros. Pictures,883929140404
Love Me Or Leave Me [VHS],0790745062,"[Doris Day, James Cagney, Cameron Mitchell, Robert Keith, Tom Tully]",VHS Tape,,[Charles Vidor],9780790745060,,$3.61,,0790745062,Turner Home Ent,Turner Home Ent,"(8.59, USD)",Video,ABIS_VIDEO,,Turner Home Ent,US,2000-09-19,122,353216,Turner Home Ent,012569511330
Masters of Horror: Pelts,B000KJTFBG,"[Meat Loaf, Link Baker, Emilio Salituro, Elise Lew, Shawn Hall]",DVD,STARZ/SPHE,[Dario Argento],0013138990181,,$5.77,,,Starz / Anchor Bay,Starz / Anchor Bay,"(7.99, USD)",DVD,ABIS_DVD,2007-02-13,Starz / Anchor Bay,US,2007-02-13,59,100360,Starz / Anchor Bay,013138990181
Something to Talk About [VHS],6303890423,"[Julia Roberts, Dennis Quaid, Robert Duvall, Gena Rowlands, Kyra Sedgwick]",VHS Tape,,[Lasse Hallström],9780790726571,,$0.73,Comedy,0790726572,Warner Home Video,Warner Home Video,"(4.72, USD)",Video,ABIS_VIDEO,,Warner Home Video,US,1997-01-21,106,271816,Warner Home Video,085391421733
Bad Company,B00006JDVT,"[Anthony Hopkins, Chris Rock, Matthew Marsh, Kerry Washington, Peter Stormare]",DVD,Buena Vista Home Video,[Joel Schumacher],9780788841590,,$0.25,Action & Adventure,0788841599,Touchstone Home Entertainment,Touchstone Home Entertainment,"(4.99, USD)",DVD,ABIS_DVD,2010-12-28,Touchstone Home Entertainment,US,2002-11-12,117,37266,Touchstone Home Entertainment,786936052688
Kindergarten Cop,0783225504,"[Arnold Schwarzenegger, Penelope Ann Miller, Pamela Reed, Linda Hunt, Richard Tyson]",DVD,Universal Studios,[Ivan Reitman],9780783225500,DVD Video,$2.49,COMEDY,0783225504,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(5.99, USD)",DVD,ABIS_DVD,2008-06-24,Universal Studios Home Entertainment,US,1998-01-20,111,3466,Universal Studios Home Entertainment,025192014529
The Switch,B004IK30PA,"[Jennifer Aniston, Jason Bateman, Patrick Wilson, Jeff Goldblum, Victor Pagan]",DVD,Vidmark/Trimark,"[Josh Gordon, Will Speck]",0031398134251,,$3.75,,,Lions Gate,Lions Gate,"(7.97, USD)",DVD,ABIS_DVD,2013-06-25,Lions Gate,US,2011-03-15,101,28929,Lions Gate,031398134251
The Wolf Man - The Legacy Collection (The Wolf Man / Werewolf of London / Frankenstein Meets the Wolf Man / She-Wolf of London),B0001CNRNE,"[Bela Lugosi, Jr. Lon Chaney, Don Porter, Henry Hull, June Lockhart]",DVD,Universal Studios,"[Roy William Neill, Jean Yarbrough, Stuart Walker, George Waggner]",9780783288178,,,,0783288174,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(None, None)",DVD,ABIS_DVD,,Universal Studios Home Entertainment,US,2004-04-27,281,38699,Universal Studios Home Entertainment,025192445828
P2 [Theatrical Release],B000YDMIN0,[],Theatrical Release,,[],,,,,,,,"(None, None)",DVD,ABIS_DVD,,,US,,,,,
Lost in Translation,B00005JMJ4,"[Bill Murray, Scarlett Johansson, Giovanni Ribisi, Anna Faris]",DVD,UNI DIST CORP. (MCA),[Sofia Coppola],9780783297804,,$1.28,,0783297807,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(9.99, USD)",DVD,ABIS_DVD,2004-02-01,Universal Studios Home Entertainment,US,2004-02-03,102,10995,Universal Studios Home Entertainment,766481298137
Captain America: The First Avenger,B005IZLPKQ,"[Chris Evans, Tommy Lee Jones, Hugo Weaving, Hayley Atwell, Sebastian Stan]",DVD,Paramount Studio,[Joe Johnston],0097361439747,,$14.96,Action & Adventure,,Paramount Studios,Paramount Studios,"(19.13, USD)",DVD,ABIS_DVD,2011-10-25,Paramount Studios,US,2011-10-25,124,15467,Paramount Studios,097361439747
The Thomas Crown Affair [VHS],6305657939,"[Pierce Brosnan, Rene Russo, Denis Leary, Ben Gazzara, Frankie Faison]",VHS Tape,,[John McTiernan],9786305657934,,$0.99,,6305657939,MGM (Video & DVD),MGM (Video & DVD),"(3.99, USD)",Video,ABIS_VIDEO,,MGM (Video & DVD),US,2000-08-01,113,293050,MGM (Video & DVD),027616727237
Gremlins 2:the New Batch [VHS],6301871952,"[Zach Galligan, Phoebe Cates, John Glover, Robert Prosky, Robert Picardo]",VHS Tape,,[Joe Dante],9780790700977,,,,0790700972,Warner Bros. Pictures,Warner Bros. Pictures,"(None, None)",Video,ABIS_VIDEO,,Warner Bros. Pictures,US,1995-08-22,106,117643,Warner Bros. Pictures,085391188636
Virus [VHS],B00000IQVM,"[Jamie Lee Curtis, William Baldwin, Donald Sutherland, Joanna Pacula, Marshall Bell]",VHS Tape,,[John Bruno],9780783229782,,$2.00,,078322978X,Universal Studios Ho,Universal Studios Ho,"(4.99, USD)",Video,ABIS_VIDEO,,Universal Studios Ho,US,2001-02-06,100,247187,Universal Studios Ho,096898326438
The Shining [VHS],0790705141,"[Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson]",VHS Tape,,[Stanley Kubrick],9780790705149,VHS video,$5.29,Documentary,0790705141,Warner Home Video,Warner Home Video,"(5.29, USD)",Video,ABIS_VIDEO,1986-10-31,Warner Home Video,US,1991-06-05,144,48052,Warner Home Video,085391107934
Men in Black (Collector's Series),0767802624,"[Tommy Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio, Rip Torn]",DVD,Sony,[Barry Sonnenfeld],9780767802628,DVD Video,$1.67,,0767802624,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,"(13.73, USD)",DVD,ABIS_DVD,2000-08-29,Sony Pictures Home Entertainment,US,2002-01-01,98,125543,Sony Pictures Home Entertainment,043396826595
Big Fish,B0001GOH6Q,"[Danny DeVito, Albert Finney, Ewan McGregor, Jessica Lange, Billy Crudup]",DVD,"MCGREGOR,EWAN",[Tim Burton],9781404930384,,$4.98,Drama,1404930388,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,"(9.99, USD)",DVD,ABIS_DVD,2004-04-01,Sony Pictures Home Entertainment,US,2004-04-27,125,3446,Sony Pictures Home Entertainment,043396008373
Twelve O'clock High [VHS],6300247090,"[Gregory Peck, Hugh Marlowe, Gary Merrill, Millard Mitchell, Dean Jagger]",VHS Tape,,[Henry King],9786300247093,VHS video,$2.97,,6300247090,Fox Home Entertainme,Fox Home Entertainme,"(9.99, USD)",Video,ABIS_VIDEO,1986-11-30,Fox Home Entertainme,US,2002-05-21,132,226616,Fox Home Entertainme,086162107535
The Departed (Single-Disc Widescreen Edition),B000M341QE,"[Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen]",DVD,Warner Brothers,[Martin Scorsese],0012569736740,,$1.98,Drama,,WarnerBrothers,WarnerBrothers,"(8.19, USD)",DVD,ABIS_DVD,,WarnerBrothers,US,2008-01-08,151,15794,WarnerBrothers,001256973674
The Eye 2,B0002EWVVU,[Shu Qi],DVD,,[Pang Brothers],4895017004884,,$6.89,Foreign,,Imports,Imports,"(32.99, USD)",DVD,ABIS_DVD,,Imports,US,2004-07-13,95,351248,Imports,
Scream 3,6305892946,"[David Arquette, Neve Campbell, Courteney Cox, Patrick Dempsey, Jenny McCarthy]",VHS Tape,,[],9786305892946,,$2.69,,6305892946,,,"(4.99, USD)",DVD,ABIS_VIDEO,2000-11-29,,US,,116,537591,,786936132038
Foul Play [VHS],6300213692,"[Goldie Hawn, Chevy Chase]",VHS Tape,Paramount,[],9786300213692,,$4.45,,6300213692,Paramount Home Video,Paramount Home Video,"(4.95, USD)",Video,ABIS_DVD,,Paramount Home Video,US,1998-06-02,116,211240,Paramount Home Video,031504011162
The Music Man [VHS],0790738074,"[Robert Preston, Shirley Jones, Buddy Hackett, Hermione Gingold, Paul Ford]",VHS Tape,,"[Morton DaCosta, Scott Benson]",9780790738079,VHS video,$1.99,Music Videos & Concerts,0790738074,Warner Home Video,Warner Home Video,"(12.48, USD)",Video,ABIS_VIDEO,1998-09-30,Warner Home Video,US,2000-09-19,177,163427,Warner Home Video,085391676836
Final Fantasy VII - Advent Children (Two-Disc Special Edition),B000AMJG4Y,[],DVD,Sony,[Tetsuya Nomura],9781404991019,Special Edition,$4.86,Fantasy,1404991018,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,"(9.98, USD)",DVD,ABIS_DVD,2006-11-29,Sony Pictures Home Entertainment,US,2006-04-25,202,31549,Sony Pictures Home Entertainment,043396118966
Get Smart (Single-Disc Widescreen Edition),B001GMAVGE,"[Steve Carell, Anne Hathaway]",DVD,Warner Brothers,[],0085391139799,,$3.44,ACTION/ADVENTURE,,WarnerBrothers,WarnerBrothers,"(12, USD)",DVD,ABIS_DVD,2008-11-29,WarnerBrothers,US,2008-11-04,109,10917,WarnerBrothers,085391139775
Ronin [VHS],079284209X,"[Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgård, Sean Bean]",VHS Tape,,[John Frankenheimer],9780792842095,,$0.03,,079284209X,Fox Home Entertainme,Fox Home Entertainme,"(5, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,2001-09-04,122,449667,Fox Home Entertainme,027616784032
Seven Samurai (Criterion Collection Spine #2),0780020685,[],DVD,,[],9780780020689,,$22.53,Drama,0780020685,,,"(35.47, USD)",DVD,ABIS_DVD,1954-11-29,,US,,,91742,,037429121726
House of Flying Daggers,B0007Q6VXC,"[Andy Lau, Dandan Song, Ziyi Zhang, Takeshi Kaneshiro]",DVD,"ZHANG,ZIYI","[Yimou Zhang, Zhang Yimou]",9781404970106,,$2.99,Action & Adventure,140497010X,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,"(9.96, USD)",DVD,ABIS_DVD,,Sony Pictures Home Entertainment,US,2005-04-19,119,17294,Sony Pictures Home Entertainment,043396091788
Closed Circuit,B00BEIYNRS,"[Eric Bana, Rebecca Hall, Ciaran Hinds, Riz Ahmed, Anne-Marie Duff]",DVD,UNI DIST CORP. (MCA),[John Crowley],0025192167188,,$3.99,Drama,,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(7.99, USD)",DVD,ABIS_DVD,2014-09-16,Universal Studios Home Entertainment,US,2014-01-07,96,40456,Universal Studios Home Entertainment,025192167188
To Live and Die in L.a. [VHS],6301758641,"[William Petersen, Willem Dafoe, John Pankow, Debra Feuer, John Turturro]",VHS Tape,,[William Friedkin],9786301758642,,$9.99,,6301758641,Anchor Bay,Anchor Bay,"(12.99, USD)",Video,ABIS_VIDEO,,Anchor Bay,US,1990-06-22,116,310746,Anchor Bay,013132924236
Changing Lanes,B00005JL5F,"[Ben Affleck, Samuel L. Jackson, Kim Staunton, Toni Collette, Sydney Pollack]",DVD,"AFFLECK,BEN",[Roger Michell],9780792182047,,$1.99,,0792182049,Paramount,Paramount,"(10.43, USD)",DVD,ABIS_DVD,,Paramount,US,2002-09-10,98,43440,Paramount,097363343042
When Harry Met Sally... [VHS],0792837207,"[Billy Crystal, Meg Ryan, Carrie Fisher, Bruno Kirby, Steven Ford]",Videotape,,[Rob Reiner],9780792837206,VHS video,$0.93,,0792837207,Metro Goldwyn Mayer Home Entertainmen,Metro Goldwyn Mayer Home Entertainmen,"(1.99, USD)",Video,ABIS_VIDEO,1997-11-30,Metro Goldwyn Mayer Home Entertainmen,US,2001-01-09,96,191820,Metro Goldwyn Mayer Home Entertainmen,027616675231
Red 2,B008JFURII,"[Bruce Willis, Anthony Hopkins]",DVD,Lions Gate,[Dean Parisot],0025192213083,UV Digital Copy Included,$4.89,,,Summit Entertainment,Summit Entertainment,"(5, USD)",DVD,ABIS_DVD,2015-06-09,Summit Entertainment,US,2013-11-26,116,1369,Summit Entertainment,025192213083
Cutthroat Island [VHS],6303990444,"[Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin, Patrick Malahide]",VHS Tape,,[Renny Harlin],9786305389095,,$4.77,,6303990444,Live / Artisan,Live / Artisan,"(4.77, USD)",Video,ABIS_VIDEO,,Live / Artisan,US,1996-09-10,124,347773,Live / Artisan,012236022831
The Greatest Show on Earth [VHS],6300215938,"[Charlton Heston, Betty Hutton, Cornel Wilde, Antoinette Concello, Cucciola]",VHS Tape,,[],9786300215931,,$3.10,,6300215938,Paramount,Paramount,"(8, USD)",Video,ABIS_DVD,,Paramount,US,1998-02-13,149,208852,Paramount,097360661736
Good Morning Vietnam [VHS],6303027016,"[Robin Williams, Forest Whitaker, Tung Thanh Tran, Chintara Sukapatana, Bruno Kirby]",VHS Tape,,[Barry Levinson],9786303027012,VHS video,$0.19,,6303027016,Touchstone / Disney,Touchstone / Disney,"(5.99, USD)",Video,ABIS_VIDEO,1988-07-31,Touchstone / Disney,US,1992-12-07,121,168138,Touchstone / Disney,012257660036
Wait Until Dark [VHS],6304457383,"[Audrey Hepburn, Alan Arkin, Richard Crenna, Efrem Zimbalist Jr., Jack Weston]",VHS Tape,,[Terence Young],9780790730523,,$7.95,,0790730529,Warner Home Video,Warner Home Video,"(13.92, USD)",Video,ABIS_VIDEO,,Warner Home Video,US,1997-06-17,108,155674,Warner Home Video,085391524434
